,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
398,Erwinia~phage~vB_EamM_ChrisDB,Unassigned,Unassigned,Unassigned,226_2,Clustered,4,VC_226_2,4,0.1807,0.99949996,0.1806,1,1,1,0.6667
399,Erwinia~phage~vB_EamM_EarlPhillipIV,Unassigned,Unassigned,Unassigned,226_0,Clustered,3,VC_226_0,3,0.122,0.99794886,0.1217,1,1,1,1.0
400,Erwinia~phage~vB_EamM_Huxley,Unassigned,Unassigned,Unassigned,226_2,Clustered,4,VC_226_2,4,0.1807,0.99949996,0.1806,1,1,1,0.6667
401,Erwinia~phage~vB_EamM_Kwan,Unassigned,Unassigned,Unassigned,226_2,Clustered,4,VC_226_2,4,0.1807,0.99949996,0.1806,1,1,1,0.6667
402,Erwinia~phage~vB_EamM_Phobos,Unassigned,Unassigned,Unassigned,226_0,Clustered,3,VC_226_0,3,0.122,0.99794886,0.1217,1,1,1,1.0
403,Erwinia~phage~vB_EamP-L1,Unassigned,Unassigned,Unassigned,199_0,Clustered,60,VC_199_0,60,0.9834,1.0,0.9834,3,2,2,1.0
404,Erwinia~phage~vB_EamP-S6,Unassigned,Unassigned,Unassigned,6_2,Clustered,12,VC_6_2,12,0.4362,1.0,0.4362,4,2,2,0.8939
405,Erwinia~phage~vB_EamP_Frozen,Caudovirales,Podoviridae,Ea92virus,6_1,Clustered,2,VC_6_1,2,0.0703,0.95434246,0.0671,1,1,1,1.0
406,Escherichia~Stx1~converting~phage,Caudovirales,Podoviridae,Nona33virus,175_0,Clustered,2,VC_175_0,2,0.0783,0.9547967,0.0747,1,1,1,1.0
407,Escherichia~phage~121Q,Unassigned,Unassigned,Unassigned,232_0,Clustered,2,VC_232_0,2,0.1892,0.87837865,0.1662,1,1,1,1.0
408,Escherichia~phage~172-1,Caudovirales,Podoviridae,Phieco32virus,234_0,Clustered,6,VC_234_0,6,0.8564,1.0,0.8564,1,1,1,1.0
409,Escherichia~phage~4MG,Caudovirales,Myoviridae,Se1virus,204_1,Clustered,2,VC_204_1,2,0.0633,0.93081102,0.0589,1,1,1,1.0
410,Escherichia~phage~64795_ec1,Unassigned,Unassigned,Unassigned,199_0,Clustered,60,VC_199_0,60,0.9834,1.0,0.9834,3,2,2,1.0
411,Escherichia~phage~ADB-2,Caudovirales,Siphoviridae,T1virus,207_0,Clustered,25,VC_207_0,25,0.9731,1.0,0.9731,6,2,2,0.9633
412,Escherichia~phage~APCEc01,Unassigned,Unassigned,Unassigned,32_4,Clustered,7,VC_32_4,7,0.0551,0.99999999,0.0551,2,2,2,1.0
413,Escherichia~phage~AR1,Caudovirales,Myoviridae,T4virus,32_5,Clustered,27,VC_32_5,27,0.3086,1.0,0.3086,2,2,2,1.0
414,Escherichia~phage~Av-05,Unassigned,Unassigned,Unassigned,204_3,Clustered/Singleton,1,VC_204_3,1,0.0,1.0,0.0,1,1,1,1.0
415,Escherichia~phage~Bp4,Caudovirales,Podoviridae,G7cvirus,6_2,Clustered,12,VC_6_2,12,0.4362,1.0,0.4362,4,2,2,0.8939
416,Escherichia~phage~CICC~80001,Unassigned,Unassigned,Unassigned,199_0,Clustered,60,VC_199_0,60,0.9834,1.0,0.9834,3,2,2,1.0
417,Escherichia~phage~D108,Unassigned,Unassigned,Unassigned,169_0,Clustered,3,VC_169_0,3,0.5668,0.99820512,0.5658,2,2,2,1.0
418,Escherichia~phage~EB49,Caudovirales,Siphoviridae,Rogue1virus,207_0,Clustered,25,VC_207_0,25,0.9731,1.0,0.9731,6,2,2,0.9633
419,Escherichia~phage~EC6,Caudovirales,Myoviridae,Felixo1virus,17_0,Clustered,16,VC_17_0,16,0.8907,1.0,0.8907,4,2,2,1.0
420,Escherichia~phage~ECBP1,Caudovirales,Podoviridae,G7cvirus,6_2,Clustered,12,VC_6_2,12,0.4362,1.0,0.4362,4,2,2,0.8939
421,Escherichia~phage~ECBP2,Caudovirales,Podoviridae,Phieco32virus,234_0,Clustered,6,VC_234_0,6,0.8564,1.0,0.8564,1,1,1,1.0
422,Escherichia~phage~ECBP5,Unassigned,Unassigned,Unassigned,59_0,Clustered,15,VC_59_0,15,0.985,1.0,0.985,2,2,2,1.0
423,Escherichia~phage~ECML-134,Caudovirales,Myoviridae,T4virus,32_5,Clustered,27,VC_32_5,27,0.3086,1.0,0.3086,2,2,2,1.0
424,Escherichia~phage~ECML-4,Caudovirales,Ackermannviridae,Vi1virus,55_1,Clustered,19,VC_55_1,19,0.8051,1.0,0.8051,5,1,1,0.8246
425,Escherichia~phage~EK99P-1,Caudovirales,Siphoviridae,Hk578virus,160_0,Clustered,10,VC_160_0,10,0.72,1.0,0.72,2,2,2,1.0
426,Escherichia~phage~Envy,Unassigned,Unassigned,Unassigned,160_0,Clustered,10,VC_160_0,10,0.72,1.0,0.72,2,2,2,1.0
427,Escherichia~phage~Gluttony,Unassigned,Unassigned,Unassigned,160_0,Clustered,10,VC_160_0,10,0.72,1.0,0.72,2,2,2,1.0
428,Escherichia~phage~HK578,Caudovirales,Siphoviridae,Hk578virus,160_0,Clustered,10,VC_160_0,10,0.72,1.0,0.72,2,2,2,1.0
429,Escherichia~phage~HK75,Caudovirales,Siphoviridae,Hk97virus,159_0,Clustered,13,VC_159_0,13,0.4191,1.0,0.4191,2,2,2,1.0
430,Escherichia~phage~HX01,Caudovirales,Myoviridae,Rb69virus,32_4,Clustered,7,VC_32_4,7,0.0551,0.99999999,0.0551,2,2,2,1.0
431,Escherichia~phage~HY01,Caudovirales,Myoviridae,T4virus,32_5,Clustered,27,VC_32_5,27,0.3086,1.0,0.3086,2,2,2,1.0
432,Escherichia~phage~HY02,Caudovirales,Myoviridae,Felixo1virus,17_0,Clustered,16,VC_17_0,16,0.8907,1.0,0.8907,4,2,2,1.0
433,Escherichia~phage~HY03,Unassigned,Unassigned,Unassigned,32_5,Clustered,27,VC_32_5,27,0.3086,1.0,0.3086,2,2,2,1.0
434,Escherichia~phage~IME11,Caudovirales,Podoviridae,G7cvirus,6_2,Clustered,12,VC_6_2,12,0.4362,1.0,0.4362,4,2,2,0.8939
435,Escherichia~phage~JH2,Caudovirales,Myoviridae,Felixo1virus,17_0,Clustered,16,VC_17_0,16,0.8907,1.0,0.8907,4,2,2,1.0
436,Escherichia~phage~JS98,Caudovirales,Myoviridae,Js98virus,32_7,Clustered,8,VC_32_7,8,0.071,1.0,0.071,2,2,2,1.0
437,Escherichia~phage~JSE,Caudovirales,Myoviridae,Rb49virus,36_0,Clustered,4,VC_36_0,4,0.0713,0.99998686,0.0713,2,2,2,1.0
438,Escherichia~phage~K1-dep(1),Caudovirales,Siphoviridae,K1gvirus,39_0,Clustered,17,VC_39_0,17,0.7921,1.0,0.7921,4,2,2,1.0
439,Escherichia~phage~K1-dep(4),Caudovirales,Siphoviridae,K1gvirus,39_0,Clustered,17,VC_39_0,17,0.7921,1.0,0.7921,4,2,2,1.0
440,Escherichia~phage~K30,Caudovirales,Podoviridae,Kp32virus,199_0,Clustered,60,VC_199_0,60,0.9834,1.0,0.9834,3,2,2,1.0
441,Escherichia~phage~KBNP1711,Caudovirales,Podoviridae,Phieco32virus,234_0,Clustered,6,VC_234_0,6,0.8564,1.0,0.8564,1,1,1,1.0
442,Escherichia~phage~LM33_P1,Unassigned,Unassigned,Unassigned,199_0,Clustered,60,VC_199_0,60,0.9834,1.0,0.9834,3,2,2,1.0
443,Escherichia~phage~Lw1,Unassigned,Unassigned,Unassigned,35_1,Clustered,8,VC_35_1,8,0.2349,1.0,0.2349,1,1,1,1.0
444,Escherichia~phage~MX01,Unassigned,Unassigned,Unassigned,32_7,Clustered,8,VC_32_7,8,0.071,1.0,0.071,2,2,2,1.0
445,Escherichia~phage~Min27,Caudovirales,Podoviridae,Nona33virus,175_1,Clustered,13,VC_175_1,13,0.5748,1.0,0.5748,4,2,2,0.9103
446,Escherichia~phage~N4,Caudovirales,Podoviridae,N4virus,6_2,Clustered,12,VC_6_2,12,0.4362,1.0,0.4362,4,2,2,0.8939
447,Escherichia~phage~NJ01,Caudovirales,Podoviridae,Phieco32virus,234_0,Clustered,6,VC_234_0,6,0.8564,1.0,0.8564,1,1,1,1.0
448,Escherichia~phage~P13374,Unassigned,Unassigned,Unassigned,175_1,Clustered,13,VC_175_1,13,0.5748,1.0,0.5748,4,2,2,0.9103
449,Escherichia~phage~P483,Unassigned,Unassigned,Unassigned,199_0,Clustered,60,VC_199_0,60,0.9834,1.0,0.9834,3,2,2,1.0
450,Escherichia~phage~P694,Unassigned,Unassigned,Unassigned,199_0,Clustered,60,VC_199_0,60,0.9834,1.0,0.9834,3,2,2,1.0
451,Escherichia~phage~PA2,Caudovirales,Podoviridae,Tl2011virus,175_1,Clustered,13,VC_175_1,13,0.5748,1.0,0.5748,4,2,2,0.9103
452,Escherichia~phage~PBECO~4,Unassigned,Unassigned,Unassigned,232_0,Clustered,2,VC_232_0,2,0.1892,0.87837865,0.1662,1,1,1,1.0
453,Escherichia~phage~PE3-1,Unassigned,Unassigned,Unassigned,199_0,Clustered,60,VC_199_0,60,0.9834,1.0,0.9834,3,2,2,1.0
454,Escherichia~phage~PhaxI,Caudovirales,Ackermannviridae,Cba120virus,55_1,Clustered,19,VC_55_1,19,0.8051,1.0,0.8051,5,1,1,0.8246
455,Escherichia~phage~QL01,Caudovirales,Myoviridae,Js98virus,32_7,Clustered,8,VC_32_7,8,0.071,1.0,0.071,2,2,2,1.0
456,Escherichia~phage~SUSP1,Caudovirales,Myoviridae,Suspvirus,17_0,Clustered,16,VC_17_0,16,0.8907,1.0,0.8907,4,2,2,1.0
457,Escherichia~phage~SUSP2,Caudovirales,Myoviridae,Suspvirus,17_0,Clustered,16,VC_17_0,16,0.8907,1.0,0.8907,4,2,2,1.0
458,Escherichia~phage~Stx2~II,Caudovirales,Podoviridae,Nona33virus,175_0,Clustered,2,VC_175_0,2,0.0783,0.9547967,0.0747,1,1,1,1.0
459,Escherichia~phage~TL-2011b,Unassigned,Unassigned,Unassigned,142_0,Clustered,5,VC_142_0,5,0.6683,0.99999939,0.6683,2,2,2,1.0
460,Escherichia~phage~TL-2011c,Caudovirales,Podoviridae,Tl2011virus,175_1,Clustered,13,VC_175_1,13,0.5748,1.0,0.5748,4,2,2,0.9103
461,Escherichia~phage~UFV-AREG1,Unassigned,Unassigned,Unassigned,32_5,Clustered,27,VC_32_5,27,0.3086,1.0,0.3086,2,2,2,1.0
462,Escherichia~phage~WG01,Unassigned,Unassigned,Unassigned,32_7,Clustered,8,VC_32_7,8,0.071,1.0,0.071,2,2,2,1.0
463,Escherichia~phage~YD-2008.s,Caudovirales,Siphoviridae,Hk578virus,160_0,Clustered,10,VC_160_0,10,0.72,1.0,0.72,2,2,2,1.0
464,Escherichia~phage~e4/1c,Caudovirales,Siphoviridae,Rogue1virus,207_0,Clustered,25,VC_207_0,25,0.9731,1.0,0.9731,6,2,2,0.9633
465,Escherichia~phage~ime09,Caudovirales,Myoviridae,T4virus,32_5,Clustered,27,VC_32_5,27,0.3086,1.0,0.3086,2,2,2,1.0
466,Escherichia~phage~phAPEC8,Unassigned,Unassigned,Unassigned,45_0,Clustered,2,VC_45_0,2,0.1909,0.95399842,0.1821,1,1,1,1.0
467,Escherichia~phage~phi191,Caudovirales,Podoviridae,Tl2011virus,175_1,Clustered,13,VC_175_1,13,0.5748,1.0,0.5748,4,2,2,0.9103
468,Escherichia~phage~phiKT,Unassigned,Unassigned,Unassigned,57_0,Clustered,10,VC_57_0,10,0.6016,1.0,0.6016,2,2,2,1.0
469,Escherichia~phage~phiV10,Caudovirales,Podoviridae,Epsilon15virus,142_0,Clustered,5,VC_142_0,5,0.6683,0.99999939,0.6683,2,2,2,1.0
470,Escherichia~phage~pro147,Unassigned,Unassigned,Unassigned,60_0,Clustered,29,VC_60_0,29,0.8456,1.0,0.8456,2,2,2,1.0
471,Escherichia~phage~pro483,Unassigned,Unassigned,Unassigned,60_0,Clustered,29,VC_60_0,29,0.8456,1.0,0.8456,2,2,2,1.0
472,Escherichia~phage~slur02,Unassigned,Unassigned,Unassigned,32_5,Clustered,27,VC_32_5,27,0.3086,1.0,0.3086,2,2,2,1.0
473,Escherichia~phage~slur05,Unassigned,Unassigned,Unassigned,160_0,Clustered,10,VC_160_0,10,0.72,1.0,0.72,2,2,2,1.0
474,Escherichia~phage~slur07,Unassigned,Unassigned,Unassigned,32_5,Clustered,27,VC_32_5,27,0.3086,1.0,0.3086,2,2,2,1.0
475,Escherichia~phage~slur09,Caudovirales,Siphoviridae,T5virus,251_0,Clustered,14,VC_251_0,14,0.8557,1.0,0.8557,2,2,2,1.0
476,Escherichia~phage~slur14,Unassigned,Unassigned,Unassigned,32_5,Clustered,27,VC_32_5,27,0.3086,1.0,0.3086,2,2,2,1.0
477,Escherichia~phage~vB_EcoM-UFV13,Unassigned,Unassigned,Unassigned,32_5,Clustered,27,VC_32_5,27,0.3086,1.0,0.3086,2,2,2,1.0
478,Escherichia~phage~vB_EcoM-VpaE1,Caudovirales,Myoviridae,Felixo1virus,17_0,Clustered,16,VC_17_0,16,0.8907,1.0,0.8907,4,2,2,1.0
479,Escherichia~phage~vB_EcoM-ep3,Caudovirales,Myoviridae,Cvm10virus,167_0,Clustered,4,VC_167_0,4,0.2787,0.99998269,0.2787,2,2,2,1.0
480,Escherichia~phage~vB_EcoM_112,Caudovirales,Myoviridae,T4virus,32_5,Clustered,27,VC_32_5,27,0.3086,1.0,0.3086,2,2,2,1.0
481,Escherichia~phage~vB_EcoM_ACG-C40,Caudovirales,Myoviridae,T4virus,32_5,Clustered,27,VC_32_5,27,0.3086,1.0,0.3086,2,2,2,1.0
482,Escherichia~phage~vB_EcoM_AYO145A,Caudovirales,Myoviridae,Felixo1virus,17_0,Clustered,16,VC_17_0,16,0.8907,1.0,0.8907,4,2,2,1.0
483,Escherichia~phage~vB_EcoM_Alf5,Unassigned,Unassigned,Unassigned,17_0,Clustered,16,VC_17_0,16,0.8907,1.0,0.8907,4,2,2,1.0
484,Escherichia~phage~vB_EcoM_ECO1230-10,Caudovirales,Myoviridae,Cvm10virus,167_0,Clustered,4,VC_167_0,4,0.2787,0.99998269,0.2787,2,2,2,1.0
485,Escherichia~phage~vB_EcoM_JS09,Caudovirales,Myoviridae,Rb69virus,32_4,Clustered,7,VC_32_4,7,0.0551,0.99999999,0.0551,2,2,2,1.0
486,Escherichia~phage~vB_EcoM_PhAPEC2,Unassigned,Unassigned,Unassigned,32_4,Clustered,7,VC_32_4,7,0.0551,0.99999999,0.0551,2,2,2,1.0
487,Escherichia~phage~vB_EcoM_VR20,Caudovirales,Myoviridae,Sp18virus,32_6,Clustered,5,VC_32_6,5,0.0402,0.99999968,0.0402,1,1,1,1.0
488,Escherichia~phage~vB_EcoM_VR25,Caudovirales,Myoviridae,Sp18virus,32_6,Clustered,5,VC_32_6,5,0.0402,0.99999968,0.0402,1,1,1,1.0
489,Escherichia~phage~vB_EcoM_VR26,Caudovirales,Myoviridae,Sp18virus,32_6,Clustered,5,VC_32_6,5,0.0402,0.99999968,0.0402,1,1,1,1.0
490,Escherichia~phage~vB_EcoM_VR7,Caudovirales,Myoviridae,Sp18virus,32_6,Clustered,5,VC_32_6,5,0.0402,0.99999968,0.0402,1,1,1,1.0
491,Escherichia~phage~vB_EcoP_24B,Caudovirales,Podoviridae,Nona33virus,175_1,Clustered,13,VC_175_1,13,0.5748,1.0,0.5748,4,2,2,0.9103
492,Escherichia~phage~vB_EcoP_G7C,Caudovirales,Podoviridae,G7cvirus,6_2,Clustered,12,VC_6_2,12,0.4362,1.0,0.4362,4,2,2,0.8939
493,Escherichia~phage~vB_EcoP_GA2A,Unassigned,Unassigned,Unassigned,199_0,Clustered,60,VC_199_0,60,0.9834,1.0,0.9834,3,2,2,1.0
494,Escherichia~phage~vB_EcoP_PhAPEC5,Caudovirales,Podoviridae,G7cvirus,6_2,Clustered,12,VC_6_2,12,0.4362,1.0,0.4362,4,2,2,0.8939
495,Escherichia~phage~vB_EcoP_PhAPEC7,Caudovirales,Podoviridae,G7cvirus,6_2,Clustered,12,VC_6_2,12,0.4362,1.0,0.4362,4,2,2,0.8939
496,Escherichia~phage~vB_EcoP_SU10,Caudovirales,Podoviridae,Phieco32virus,234_0,Clustered,6,VC_234_0,6,0.8564,1.0,0.8564,1,1,1,1.0
497,Escherichia~phage~vB_EcoS_AHP42,Caudovirales,Siphoviridae,Rogue1virus,207_0,Clustered,25,VC_207_0,25,0.9731,1.0,0.9731,6,2,2,0.9633
498,Escherichia~phage~vB_EcoS_AHS24,Caudovirales,Siphoviridae,Rogue1virus,207_0,Clustered,25,VC_207_0,25,0.9731,1.0,0.9731,6,2,2,0.9633
499,Escherichia~phage~vB_EcoS_AKS96,Caudovirales,Siphoviridae,Rogue1virus,207_0,Clustered,25,VC_207_0,25,0.9731,1.0,0.9731,6,2,2,0.9633
500,Escherichia~phage~vB_EcoS_FFH1,Caudovirales,Siphoviridae,T5virus,251_0,Clustered,14,VC_251_0,14,0.8557,1.0,0.8557,2,2,2,1.0
501,Escherichia~phage~vB_Eco_ACG-M12,Caudovirales,Siphoviridae,Rtpvirus,207_0,Clustered,25,VC_207_0,25,0.9731,1.0,0.9731,6,2,2,0.9633
502,Escherichia~phage~wV7,Unassigned,Unassigned,Unassigned,32_5,Clustered,27,VC_32_5,27,0.3086,1.0,0.3086,2,2,2,1.0
503,Escherichia~phage~wV8,Caudovirales,Myoviridae,Felixo1virus,17_0,Clustered,16,VC_17_0,16,0.8907,1.0,0.8907,4,2,2,1.0
504,Escherichia~virus~186,Caudovirales,Myoviridae,P2virus,60_0,Clustered,29,VC_60_0,29,0.8456,1.0,0.8456,2,2,2,1.0
505,Escherichia~virus~AKFV33,Caudovirales,Siphoviridae,T5virus,251_0,Clustered,14,VC_251_0,14,0.8557,1.0,0.8557,2,2,2,1.0
506,Escherichia~virus~CBA120,Caudovirales,Ackermannviridae,Cba120virus,55_1,Clustered,19,VC_55_1,19,0.8051,1.0,0.8051,5,1,1,0.8246
507,Escherichia~virus~DT57C,Caudovirales,Siphoviridae,T5virus,251_0,Clustered,14,VC_251_0,14,0.8557,1.0,0.8557,2,2,2,1.0
508,Escherichia~virus~EPS7,Caudovirales,Siphoviridae,T5virus,251_0,Clustered,14,VC_251_0,14,0.8557,1.0,0.8557,2,2,2,1.0
509,Escherichia~virus~FI,Unassigned,Leviviridae,Allolevivirus,31_0,Clustered,3,VC_31_0,3,0.8265,0.97657291,0.8072,2,2,1,1.0
510,Escherichia~virus~HK022,Caudovirales,Siphoviridae,Hk97virus,159_0,Clustered,13,VC_159_0,13,0.4191,1.0,0.4191,2,2,2,1.0
511,Escherichia~virus~HK97,Caudovirales,Siphoviridae,Hk97virus,159_0,Clustered,13,VC_159_0,13,0.4191,1.0,0.4191,2,2,2,1.0
512,Escherichia~virus~I22,Unassigned,Inoviridae,Lineavirus,243_0,Clustered/Singleton,1,VC_243_0,1,0.0,1.0,0.0,1,1,1,1.0
513,Escherichia~virus~JL1,Caudovirales,Siphoviridae,Hk578virus,160_0,Clustered,10,VC_160_0,10,0.72,1.0,0.72,2,2,2,1.0
514,Escherichia~virus~K1-5,Caudovirales,Podoviridae,Sp6virus,59_0,Clustered,15,VC_59_0,15,0.985,1.0,0.985,2,2,2,1.0
515,Escherichia~virus~K1E,Caudovirales,Podoviridae,Sp6virus,59_0,Clustered,15,VC_59_0,15,0.985,1.0,0.985,2,2,2,1.0
516,Escherichia~virus~KP26,Caudovirales,Siphoviridae,Rogue1virus,207_0,Clustered,25,VC_207_0,25,0.9731,1.0,0.9731,6,2,2,0.9633
517,Escherichia~virus~M13,Unassigned,Inoviridae,Inovirus,244_0,Clustered,3,VC_244_0,3,0.719,0.9639009,0.693,2,1,1,1.0
518,Escherichia~virus~Mu,Caudovirales,Myoviridae,Muvirus,169_0,Clustered,3,VC_169_0,3,0.5668,0.99820512,0.5658,2,2,2,1.0
519,Escherichia~virus~P1,Caudovirales,Myoviridae,P1virus,253_0,Clustered,2,VC_253_0,2,1.0,1.0,1.0,2,2,2,1.0
520,Escherichia~virus~P2,Caudovirales,Myoviridae,P2virus,60_0,Clustered,29,VC_60_0,29,0.8456,1.0,0.8456,2,2,2,1.0
521,Escherichia~virus~Qbeta,Unassigned,Leviviridae,Allolevivirus,31_0,Clustered,3,VC_31_0,3,0.8265,0.97657291,0.8072,2,2,1,1.0
522,Escherichia~virus~Rtp,Caudovirales,Siphoviridae,Rtpvirus,207_0,Clustered,25,VC_207_0,25,0.9731,1.0,0.9731,6,2,2,0.9633
523,Escherichia~virus~SSL2009a,Caudovirales,Siphoviridae,Hk578virus,160_0,Clustered,10,VC_160_0,10,0.72,1.0,0.72,2,2,2,1.0
524,Escherichia~virus~T1,Caudovirales,Siphoviridae,T1virus,207_0,Clustered,25,VC_207_0,25,0.9731,1.0,0.9731,6,2,2,0.9633
525,Escherichia~virus~T5,Caudovirales,Siphoviridae,T5virus,251_0,Clustered,14,VC_251_0,14,0.8557,1.0,0.8557,2,2,2,1.0
526,Escherichia~virus~TLS,Caudovirales,Siphoviridae,Tlsvirus,207_0,Clustered,25,VC_207_0,25,0.9731,1.0,0.9731,6,2,2,0.9633
527,Escherichia~virus~phiEco32,Caudovirales,Podoviridae,Phieco32virus,234_0,Clustered,6,VC_234_0,6,0.8564,1.0,0.8564,1,1,1,1.0
528,Escherichia~virus~phiK,Unassigned,Microviridae,Alpha3microvirus,241_0,Clustered,8,VC_241_0,8,0.9626,0.99999117,0.9626,4,2,1,1.0
529,Flavobacterium~phage~1H,Unassigned,Unassigned,Unassigned,254_0,Clustered,3,VC_254_0,3,0.9885,0.9595722,0.9485,1,1,1,1.0
530,Flavobacterium~phage~2A,Unassigned,Unassigned,Unassigned,254_0,Clustered,3,VC_254_0,3,0.9885,0.9595722,0.9485,1,1,1,1.0
531,Flavobacterium~phage~6H,Unassigned,Unassigned,Unassigned,254_0,Clustered,3,VC_254_0,3,0.9885,0.9595722,0.9485,1,1,1,1.0
532,Flavobacterium~phage~FCL-2,Unassigned,Unassigned,Unassigned,194_0,Clustered,2,VC_194_0,2,0.8773,0.81445332,0.7146,1,1,1,1.0
533,Flavobacterium~phage~Fpv1,Unassigned,Unassigned,Unassigned,193_0,Clustered,4,VC_193_0,4,0.9669,0.9933271,0.9605,1,1,1,1.0
534,Flavobacterium~phage~Fpv10,Unassigned,Unassigned,Unassigned,139_0,Clustered,6,VC_139_0,6,0.9612,0.99999996,0.9612,1,1,1,1.0
535,Flavobacterium~phage~Fpv11,Unassigned,Unassigned,Unassigned,139_0,Clustered,6,VC_139_0,6,0.9612,0.99999996,0.9612,1,1,1,1.0
536,Flavobacterium~phage~Fpv2,Unassigned,Unassigned,Unassigned,193_0,Clustered,4,VC_193_0,4,0.9669,0.9933271,0.9605,1,1,1,1.0
537,Flavobacterium~phage~Fpv20,Unassigned,Unassigned,Unassigned,193_0,Clustered,4,VC_193_0,4,0.9669,0.9933271,0.9605,1,1,1,1.0
538,Flavobacterium~phage~Fpv3,Unassigned,Unassigned,Unassigned,193_0,Clustered,4,VC_193_0,4,0.9669,0.9933271,0.9605,1,1,1,1.0
539,Flavobacterium~phage~Fpv5,Unassigned,Unassigned,Unassigned,139_0,Clustered,6,VC_139_0,6,0.9612,0.99999996,0.9612,1,1,1,1.0
540,Flavobacterium~phage~Fpv6,Unassigned,Unassigned,Unassigned,139_0,Clustered,6,VC_139_0,6,0.9612,0.99999996,0.9612,1,1,1,1.0
541,Flavobacterium~phage~Fpv7,Unassigned,Unassigned,Unassigned,139_0,Clustered,6,VC_139_0,6,0.9612,0.99999996,0.9612,1,1,1,1.0
542,Flavobacterium~phage~Fpv8,Unassigned,Unassigned,Unassigned,139_0,Clustered,6,VC_139_0,6,0.9612,0.99999996,0.9612,1,1,1,1.0
543,Geobacillus~phage~GBK2,Unassigned,Unassigned,Unassigned,119_0,Clustered,2,VC_119_0,2,0.0939,0.94715141,0.089,1,1,1,1.0
544,Geobacillus~phage~GBSV1,Caudovirales,Myoviridae,Svunavirus,103_0,Clustered,2,VC_103_0,2,0.4191,0.94328228,0.3953,1,1,1,1.0
545,Geobacillus~virus~E2,Unassigned,Unassigned,Unassigned,93_0,Clustered,2,VC_93_0,2,0.3053,0.94409732,0.2882,1,1,1,1.0
546,Geobacillus~virus~E3,Unassigned,Unassigned,Unassigned,88_2,Clustered/Singleton,1,VC_88_2,1,0.0,1.0,0.0,1,1,1,1.0
547,Gokushovirinae~Bog1183_53,Unassigned,Unassigned,Unassigned,141_0,Clustered,10,VC_141_0,10,0.7334,1.0,0.7334,3,2,1,1.0
548,Gokushovirinae~Bog5712_52,Unassigned,Unassigned,Unassigned,141_0,Clustered,10,VC_141_0,10,0.7334,1.0,0.7334,3,2,1,1.0
549,Gokushovirinae~Fen672_31,Unassigned,Unassigned,Unassigned,141_0,Clustered,10,VC_141_0,10,0.7334,1.0,0.7334,3,2,1,1.0
550,Gokushovirinae~Fen7875_21,Unassigned,Unassigned,Unassigned,141_0,Clustered,10,VC_141_0,10,0.7334,1.0,0.7334,3,2,1,1.0
551,Gordonia~phage~Bachita,Caudovirales,Siphoviridae,Smoothievirus,255_0,Clustered,4,VC_255_0,4,0.5254,0.99964851,0.5252,2,2,2,1.0
552,Gordonia~phage~BaxterFox,Caudovirales,Siphoviridae,Baxtervirus,257_0,Clustered,5,VC_257_0,5,0.5261,0.9999999,0.5261,2,1,1,1.0
553,Gordonia~phage~BetterKatz,Unassigned,Unassigned,Unassigned,256_0,Clustered,3,VC_256_0,3,0.1009,0.99698286,0.1006,3,2,2,1.0
554,Gordonia~phage~Blueberry,Unassigned,Unassigned,Unassigned,258_0,Clustered,7,VC_258_0,7,0.7368,1.0,0.7368,1,1,1,1.0
555,Gordonia~phage~Bowser,Unassigned,Unassigned,Unassigned,259_0,Clustered,3,VC_259_0,3,0.2812,0.99816642,0.2807,1,1,1,1.0
556,Gordonia~phage~BritBrat,Unassigned,Unassigned,Unassigned,72_0,Clustered,2,VC_72_0,2,0.2391,0.94821906,0.2268,1,1,1,1.0
557,Gordonia~phage~CaptainKirk2,Unassigned,Unassigned,Unassigned,258_0,Clustered,7,VC_258_0,7,0.7368,1.0,0.7368,1,1,1,1.0
558,Gordonia~phage~CarolAnn,Unassigned,Unassigned,Unassigned,258_0,Clustered,7,VC_258_0,7,0.7368,1.0,0.7368,1,1,1,1.0
559,Gordonia~phage~ClubL,Caudovirales,Siphoviridae,Smoothievirus,255_0,Clustered,4,VC_255_0,4,0.5254,0.99964851,0.5252,2,2,2,1.0
560,Gordonia~phage~Cucurbita,Unassigned,Unassigned,Unassigned,255_0,Clustered,4,VC_255_0,4,0.5254,0.99964851,0.5252,2,2,2,1.0
561,Gordonia~phage~Demosthenes,Caudovirales,Siphoviridae,Demosthenesvirus,269_0,Clustered,2,VC_269_0,2,0.1226,0.9466884,0.116,1,1,1,1.0
562,Gordonia~phage~GAL1,Unassigned,Unassigned,Unassigned,72_0,Clustered,2,VC_72_0,2,0.2391,0.94821906,0.2268,1,1,1,1.0
563,Gordonia~phage~GMA1,Unassigned,Unassigned,Unassigned,219_0,Clustered,3,VC_219_0,3,0.2648,0.8843248,0.2342,1,1,1,1.0
564,Gordonia~phage~GMA3,Unassigned,Unassigned,Unassigned,268_0,Clustered,5,VC_268_0,5,0.4967,0.9999997,0.4967,2,2,2,1.0
565,Gordonia~phage~GMA5,Unassigned,Unassigned,Unassigned,68_0,Clustered,4,VC_68_0,4,0.791,0.99289298,0.7853,1,1,1,1.0
